#{"t_start": 1713899393.4067721, "env_id": null}
r,l,t
0.25000003,25,1.902877
0.30999997,31,1.931434
1.3399999,34,1.945659
0.44999984,45,1.998389
0.46999982,47,2.008196
1.4699998,47,2.008276
0.4899998,49,2.01812
0.4899998,49,2.018255
0.4899998,49,2.018322
2.5099998,51,2.028996
2.5199997,52,2.033954
2.5299997,53,2.039251
3.5299997,53,2.03934
2.5399997,54,2.044645
0.57999974,58,2.064792
0.6099997,61,2.07988
0.6199997,62,2.084796
0.6299997,63,2.089753
2.6499996,65,2.099838
0.6499997,65,2.09993
3.6599996,66,2.105309
1.6599996,66,2.105392
2.6999996,70,2.124744
1.6999996,70,2.124826
0.7099996,71,2.129638
0.7299996,73,2.1393
1.7399995,74,2.14423
1.7499995,75,2.149127
5.7500057,75,2.149218
0.7499996,75,2.149246
0.7599996,76,2.154069
0.7599996,76,2.154147
5.770006,77,2.158967
0.78999954,79,2.168665
0.78999954,79,2.168746
0.8099995,81,2.178369
1.8099995,81,2.178451
1.8199995,82,2.183264
2.8199995,82,2.183341
0.8299995,83,2.188104
0.8299995,83,2.18819
0.8399995,84,2.192958
0.8599995,86,2.20252
2.8799994,88,2.212296
0.87999946,88,2.212375
5.8900013,89,2.217202
0.88999945,89,2.217281
1.5799997,58,2.217301
3.9099994,91,2.226829
4.9299994,93,2.236455
0.9299994,93,2.236537
0.7099996,71,2.250839
2.9599993,96,2.250924
0.9599994,96,2.250944
3.4999998,50,2.265178
4.0099993,101,2.274833
1.0199994,102,2.279639
3.0499992,105,2.294073
2.7099996,71,2.294154
9.06001,106,2.298938
0.28,28,2.318095
0.57999974,58,2.322953
1.1499993,115,2.342191
5.180004,118,2.356764
0.5499998,55,2.356846
3.7299995,73,2.367909
4.2000036,120,2.368
1.4599998,46,2.377691
0.41999987,42,2.392426
0.36999992,37,2.392513
0.8099995,81,2.397499
0.5999997,60,2.397582
0.6099997,61,2.397615
1.7599995,76,2.407319
1.8199995,82,2.412343
0.7599996,76,2.412427
3.5999997,60,2.417319
0.42999986,43,2.427023
1.15,15,2.441632
2.3499992,135,2.441719
0.41999987,42,2.441749
0.7399996,74,2.446647
2.5099998,51,2.461248
0.9599994,96,2.490407
0.7199996,72,2.490493
0.7299996,73,2.500327
0.58999974,59,2.505358
1.8799994,88,2.510421
0.67999965,68,2.510506
0.24000004,24,2.515465
0.68999964,69,2.515547
0.7499996,75,2.515587
6.850008,85,2.520561
1.6499996,65,2.520645
0.66999966,67,2.520675
0.6299997,63,2.525606
2.7499995,75,2.53535
0.89999944,90,2.540323
2.5999997,60,2.545323
0.56999975,57,2.545408
4.8199997,82,2.550328
2.6899996,69,2.574611
0.5299998,53,2.579771
0.8399995,84,2.579854
2.1399992,114,2.579887
1.8899994,89,2.584796
0.46999982,47,2.589752
0.24000004,24,2.609057
2.6799996,68,2.609144
2.5199997,52,2.614106
0.4899998,49,2.619101
4.0199995,102,2.628878
1.4899998,49,2.633849
3.7199996,72,2.648399
2.8699994,87,2.653341
3.8199995,82,2.653426
0.5299998,53,2.658286
8.790024,179,2.658372
3.0699992,107,2.677718
9.250018,125,2.677805
2.6999996,70,2.687574
2.36,36,2.692627
1.5999997,60,2.692713
1.1099993,111,2.702415
1.5399997,54,2.707646
3.8999984,190,2.712813
5.7400074,74,2.732248
2.1499991,115,2.751548
7.4800034,148,2.756512
1.6399995,64,2.7566
1.7099996,71,2.77593
0.25000003,25,2.780914
2.7399995,74,2.781
4.2400002,124,2.791188
1.7799995,78,2.791276
4.570001,57,2.801421
0.68999964,69,2.801514
3.0499992,105,2.81667
2.4299989,143,2.826492
0.44999984,45,2.841179
1.6199996,62,2.841265
1.4799998,48,2.846181
2.1799984,218,2.851233
3.6199996,62,2.851317
2.6699996,67,2.851349
4.9300013,93,2.870541
0.7499996,75,2.87548
0.44999984,45,2.875569
3.279999,128,2.88047
1.7999995,80,2.885725
0.99999934,100,2.885813
10.240006,124,2.890912
5.9900103,99,2.900619
3.7999995,80,2.920503
9.780018,178,2.920588
0.42999986,43,2.920618
0.5099998,51,2.930271
8.340029,234,2.930357
1.7199996,72,2.935219
0.68999964,69,2.954492
1.8299994,83,2.959417
2.7199996,72,2.964298
0.86999947,87,2.96918
2.6599994,66,2.974107
2.9399993,94,2.974191
5.870002,87,3.003028
1.7599995,76,3.008364
4.0099993,101,3.013424
0.35999992,36,3.018368
1.0099994,101,3.018451
0.5299998,53,3.018481
3.7999995,80,3.023376
7.430007,143,3.028368
0.45999983,46,3.028451
0.9199994,92,3.033338
1.9199994,92,3.038196
4.1100016,111,4.403324
4.7500057,75,4.403415
0.40999988,41,4.408726
1.9399993,94,4.408815
7.2500067,125,4.413892
10.550018,155,4.413978
3.9799993,98,4.418851
0.55999976,56,4.423819
1.8499994,85,4.428887
3.6499996,65,4.428968
0.7299996,73,4.448435
1.8099995,81,4.4582
0.67999965,68,4.472767
2.4899998,49,4.472854
0.5499998,55,4.477765
5.720008,72,4.493427
1.7299995,73,4.493509
0.5999997,60,4.498499
1.2799991,128,4.498582
0.7099996,71,4.498613
5.7800045,78,4.498638
0.5399998,54,4.509324
0.7499996,75,4.529194
0.9499994,95,4.539225
2.0099993,101,4.544405
2.339999,134,4.564495
0.3999999,40,4.564582
9.12001,112,4.569624
4.05,105,4.569709
0.5399998,54,4.594611
6.6300297,163,4.610401
0.36999992,37,4.610498
0.7499996,75,4.615484
2.6799996,68,4.615577
0.31999996,32,4.620496
0.78999954,79,4.62058
0.6099997,61,4.62061
0.41999987,42,4.625538
0.68999964,69,4.635339
6.9300117,93,4.635426
2.549999,155,4.640337
0.8499995,85,4.655001
0.45999983,46,4.660096
0.5499998,55,4.66018
0.3799999,38,4.665435
1.7899995,79,4.67047
0.55999976,56,4.675497
4.890004,89,4.680412
0.7499996,75,4.685642
2.5699997,57,4.690991
1.4999998,50,4.701146
0.67999965,68,4.716484
0.67999965,68,4.71657
2.9399993,94,4.716592
1.7699995,77,4.71661
7.0800047,108,4.721662
0.57999974,58,4.721741
1.6299996,63,4.726725
2.0899992,109,4.741659
0.6499997,65,4.741795
2.7499995,75,4.746923
1.9599993,96,4.766829
12.480019,148,4.786956
1.9299994,93,4.787041
1.4899998,49,4.792473
3.0499992,105,4.803136
3.9199994,92,4.822597
1.8699994,87,4.82269
0.9199994,92,4.842193
0.55999976,56,4.852223
0.46999982,47,4.857265
1.4699998,47,4.862315
3.7799995,78,4.872105
2.7599995,76,4.881933
0.69999963,70,4.882022
5.380004,138,4.896832
1.9699993,97,4.906819
0.8199995,82,4.906905
0.4799998,48,4.906936
3.249999,125,4.911973
0.8399995,84,4.916992
2.8899994,89,4.921985
6.180007,118,4.922071
0.6199997,62,4.926984
1.0299994,103,4.927068
0.5399998,54,4.932014
2.7199996,72,4.932098
6.880005,88,4.941812
0.43999985,44,4.946845
2.6999996,70,4.946929
1.1299993,113,4.971334
7.1600084,116,4.971421
4.6799994,68,4.981162
0.20000002,20,4.981249
4.4800053,148,4.996052
2.7599995,76,5.001155
0.31999996,32,5.001238
7.0300007,103,5.015919
1.6699996,67,5.016009
2.8299994,83,5.026072
0.77999955,78,5.026164
1.7899995,79,5.031423
0.36999992,37,5.04196
0.9499994,95,5.042055
0.6499997,65,5.047416
1.0699993,107,5.047505
0.44999984,45,5.047537
2.7599995,76,5.052922
0.5299998,53,5.057991
1.9899993,99,5.063067
0.3899999,39,5.068001
7.050004,105,5.068085
3.7099996,71,5.072991
0.9299994,93,5.077944
0.58999974,59,5.082989
0.8099995,81,5.083074
0.7599996,76,5.083105
0.5999997,60,5.088041
2.7299995,73,5.088129
2.1699994,117,5.08816
0.8199995,82,5.098049
0.5099998,51,5.117649
3.9199994,92,5.117798
0.29,29,5.117825
1.7499995,75,5.122898
8.530011,153,5.14287
0.7599996,76,5.14815
