#{"t_start": 1709852568.9109983, "env_id": null}
r,l,t
2.4999998,25,1.92938
2.4999998,25,1.92947
3.0999992,31,1.957261
3.399999,34,1.970997
4.399998,44,2.016986
4.499998,45,2.021725
4.499998,45,2.021799
4.699998,47,2.031019
4.699998,47,2.031095
4.699998,47,2.031116
4.799998,48,2.035743
4.8999977,49,2.040484
4.8999977,49,2.040558
4.8999977,49,2.04058
5.1999974,52,2.054278
5.2999973,53,2.059084
5.399997,54,2.063838
5.699997,57,2.077734
5.799997,58,2.082422
5.8999968,59,2.087129
6.0999966,61,2.096472
6.1999965,62,2.101194
6.2999964,63,2.106058
6.3999963,64,2.110781
6.499996,65,2.115534
6.499996,65,2.115609
6.599996,66,2.120309
6.799996,68,2.129642
6.9999957,70,2.138997
6.9999957,70,2.139075
7.0999956,71,2.143729
7.1999955,72,2.148447
7.2999954,73,2.153238
7.3999953,74,2.157959
7.499995,75,2.162709
7.499995,75,2.162784
7.599995,76,2.167398
7.599995,76,2.167474
7.699995,77,2.172149
7.899995,79,2.181797
7.899995,79,2.181877
7.899995,79,2.181896
8.099995,81,2.191369
8.099995,81,2.191447
3.299999,33,2.19609
8.199995,82,2.196165
8.299995,83,2.200833
8.299995,83,2.200907
8.399996,84,2.205533
8.399996,84,2.205608
8.599997,86,2.214843
8.799997,88,2.224049
8.799997,88,2.224126
8.899998,89,2.228715
5.799997,58,2.228787
9.299999,93,2.247052
9.299999,93,2.247129
6.899996,69,2.25174
4.799998,48,2.25643
7.0999956,71,2.261173
9.6,96,2.261251
3.7999985,38,2.26127
5.399997,54,2.275081
10.000002,100,2.279772
10.200003,102,2.289523
10.500004,105,2.304045
7.0999956,71,2.304119
5.499997,55,2.31353
2.7999995,28,2.327693
5.799997,58,2.332414
11.500008,115,2.351042
11.800009,118,2.365069
5.499997,55,2.365145
4.8999977,49,2.369813
7.499995,75,2.369891
12.00001,120,2.374591
6.1999965,62,2.379298
7.3999953,74,2.379373
4.599998,46,2.384038
5.9999967,60,2.393361
4.1999984,42,2.398124
8.099995,81,2.402876
6.0999966,61,2.402953
4.2999983,43,2.407618
7.899995,79,2.407693
6.1999965,62,2.412367
8.199995,82,2.417094
4.0999985,41,2.417171
5.1999974,52,2.426461
3.399999,34,2.435841
13.500015,135,2.445521
4.1999984,42,2.445589
7.3999953,74,2.450389
1.5000002,15,2.450453
4.399998,44,2.455189
5.8999968,59,2.459967
4.599998,46,2.469592
9.6,96,2.492411
7.1999955,72,2.492479
6.0999966,61,2.501406
7.2999954,73,2.501477
5.8999968,59,2.505931
8.799997,88,2.510477
6.799996,68,2.510546
6.899996,69,2.515114
7.499995,75,2.515179
9.299999,93,2.5152
6.899996,69,2.519676
6.699996,67,2.519744
6.2999964,63,2.524223
5.699997,57,2.528756
8.199995,82,2.533455
8.999998,90,2.538045
5.9999967,60,2.542548
8.199995,82,2.547072
2.9999993,30,2.565508
5.2999973,53,2.575025
8.399996,84,2.575102
11.400007,114,2.575134
4.699998,47,2.58454
7.1999955,72,2.594002
2.3999999,24,2.603487
6.899996,69,2.60356
3.6999986,37,2.608314
5.1999974,52,2.608389
4.8999977,49,2.613084
11.800009,118,2.617855
5.2999973,53,2.61793
3.6999986,37,2.622647
10.200003,102,2.622721
10.700005,107,2.632118
3.7999985,38,2.636887
9.4,94,2.641626
7.1999955,72,2.6417
5.8999968,59,2.646407
5.2999973,53,2.65118
5.2999973,53,2.655954
4.499998,45,2.656029
5.699997,57,2.660755
7.699995,77,2.665733
10.700005,107,2.670963
5.699997,57,2.671044
5.599997,56,2.68124
6.9999957,70,2.681313
7.799995,78,2.681332
7.499995,75,2.686332
11.100006,111,2.696543
6.799996,68,2.701704
3.9999983,40,2.701784
3.8999984,39,2.706646
9.6,96,2.716294
5.2999973,53,2.721537
7.3999953,74,2.726737
6.3999963,64,2.750115
2.3,23,2.754995
4.599998,46,2.755069
7.2999954,73,2.764511
